,Actual,Pred,Diff
6,1499.0,905.2824,593.7175903320312
0,210.0,521.3852,-311.38519287109375
31,720.0,1074.5927,-354.5926513671875
41,5000.0,4691.0312,308.96875
44,1000.0,1562.4199,-562.419921875
102,1200.0,905.7034,294.29656982421875
2,888.0,498.20578,389.7942199707031
51,2999.0,2283.9292,715.07080078125
155,330.0,330.6384,-0.638397216796875
79,740.0,314.93503,425.0649719238281
66,260.0,295.67606,-35.676055908203125
35,380.0,532.3425,-152.342529296875
48,4900.0,975.29865,3924.7013549804688
112,2688.0,648.63794,2039.362060546875
141,1300.0,896.37537,403.6246337890625
132,1400.0,865.26733,534.732666015625
131,6999.0,2000.2556,4998.744384765625
10,140.0,193.74962,-53.74961853027344
172,366.0,655.43744,-289.43743896484375
37,999.0,320.05017,678.9498291015625
41,1059.0,709.228,349.77197265625
67,1495.0,1460.882,34.1180419921875
56,850.0,497.70807,352.29193115234375
60,320.0,499.6184,-179.618408203125
39,1000.0,570.6732,429.3267822265625
30,1580.0,512.0954,1067.9046020507812
103,410.0,1728.9886,-1318.9886474609375
12,800.0,858.7633,-58.7633056640625
13,2088.0,1367.0156,720.984375
78,450.0,959.1434,-509.14337158203125
10,1488.0,1006.5472,481.45281982421875
149,600.0,432.61783,167.38217163085938
40,1055.0,1810.7094,-755.7093505859375
54,830.0,1190.3085,-360.3084716796875
39,600.0,703.13367,-103.1336669921875
23,100.0,277.4953,-177.49530029296875
55,3500.0,3003.9023,496.09765625
100,1300.0,1063.9048,236.09521484375
63,288.0,699.4326,-411.4326171875
96,188.0,375.7258,-187.72579956054688
65,800.0,986.8861,-186.8861083984375
20,130.0,342.2922,-212.29220581054688
73,200.0,940.7705,-740.7705078125
39,2258.0,1601.4434,656.556640625
62,3000.0,1119.5464,1880.45361328125
15,966.0,414.7361,551.2638854980469
36,1100.0,1390.2023,-290.2022705078125
63,888.0,834.4608,53.5391845703125
101,650.0,1089.6575,-439.657470703125
76,400.0,732.0006,-332.0006103515625
40,550.0,249.72012,300.2798767089844
114,400.0,861.9386,-461.9385986328125
97,11999.0,917.8514,11081.148620605469
181,500.0,706.26245,-206.262451171875
96,886.0,976.02936,-90.02935791015625
48,750.0,306.9208,443.0791931152344
110,900.0,896.37537,3.6246337890625
87,4500.0,1892.5964,2607.403564453125
58,300.0,582.68884,-282.6888427734375
56,688.0,1097.653,-409.6529541015625
87,199.0,240.56503,-41.565032958984375
111,2400.0,1580.3663,819.6336669921875
21,1200.0,1754.1008,-554.100830078125
78,4500.0,2000.2556,2499.744384765625
82,685.0,760.3987,-75.398681640625
72,480.0,295.67606,184.32394409179688
15,750.0,556.09235,193.90765380859375
49,850.0,502.7832,347.216796875
97,206.0,605.9294,-399.92938232421875
58,3000.0,1624.6351,1375.3648681640625
43,388.0,591.0289,-203.02886962890625
0,888.0,1048.133,-160.133056640625
100,1688.0,1870.8076,-182.8076171875
111,730.0,939.93024,-209.93023681640625
33,1200.0,974.14294,225.8570556640625
31,350.0,496.09338,-146.0933837890625
104,700.0,687.7312,12.268798828125
43,1350.0,881.0178,468.982177734375
33,3119.0,1314.52,1804.47998046875
85,2599.0,791.92285,1807.0771484375
14,550.0,556.09235,-6.09234619140625
138,600.0,687.3648,-87.36480712890625
171,650.0,295.67606,354.3239440917969
72,1780.0,872.48083,907.5191650390625
77,1500.0,881.0178,618.982177734375
22,3188.0,827.52966,2360.4703369140625
21,1888.0,1289.4423,598.5577392578125
109,1300.0,561.00275,738.9972534179688
106,200.0,351.68768,-151.68768310546875
66,578.0,479.4138,98.58621215820312
189,2360.0,912.3639,1447.6361083984375
57,545.0,1048.133,-503.133056640625
47,130.0,199.2298,-69.22979736328125
34,999.0,1087.3726,-88.37255859375
65,1500.0,1544.5223,-44.5223388671875
173,850.0,499.91498,350.08502197265625
13,1666.0,2149.044,-483.0439453125
64,600.0,896.37537,-296.3753662109375
120,988.0,1370.134,-382.134033203125
16,350.0,663.2741,-313.27410888671875
14,3188.0,2030.4675,1157.532470703125
54,350.0,769.6119,-419.61187744140625
65,2488.0,4632.9062,-2144.90625
99,1700.0,872.48083,827.5191650390625
63,333.0,575.996,-242.9959716796875
2,580.0,396.74316,183.2568359375
98,820.0,963.67554,-143.675537109375
133,325.0,656.8023,-331.80230712890625
76,400.0,545.51416,-145.51416015625
8,100.0,249.72012,-149.72012329101562
133,1050.0,2202.364,-1152.364013671875
80,899.0,937.3342,-38.334228515625
17,400.0,730.7741,-330.77410888671875
146,876.0,706.26245,169.737548828125
135,380.0,558.15753,-178.15753173828125
139,999.0,800.90125,198.0987548828125
85,2320.0,897.19,1422.8099975585938
10,288.0,561.0885,-273.0885009765625
36,999.0,724.9731,274.02691650390625
11,580.0,896.3296,-316.32958984375
89,688.0,798.98785,-110.98785400390625
